price,location,geo_lat,geo_lng,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,house_type,heating,breakdown,parking,accomodation_type,author,url
10800000,"Москва, ЮАО, р-н Даниловский, Автозаводская ул., 23С928",55.702313,37.640632,Автозаводская,3,4,45.0,unknown,10.0,unknown,Дизайнерский,unknown,Во двор,unknown,unknown,unknown,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/303618522/
78259545,"Москва, ЦАО, р-н Пресненский, ул. Костикова, 4к1",55.7612846731082,37.5573009849619,Улица 1905 года,5,21,65.9,18.8,24.9,2023,"Чистовая, чистовая с мебелью",3.0,На улицу,Монолитный,unknown,unknown,unknown,Новостройка,VESPER,https://www.cian.ru/sale/flat/306541560/
30900000,"Москва, ЗАО, р-н Раменки, Винницкая ул., 8к3",55.700983,37.493479,Раменки,15,28,40.0,unknown,18.0,2022,Дизайнерский,3.12,На улицу,Монолитный,Индивидуальный тепловой пункт,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/306537307/
11900000,"Москва, СВАО, р-н Отрадное, Юрловский проезд, 14к1",55.877788,37.613566,Бибирево,8,17,37.0,19.0,7.1,2011,Косметический,2.74,На улицу и двор,Панельный,Автономная котельная,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/303859491/
134746500,"Москва, ЦАО, р-н Тверской, 1-я Тверская-Ямская ул., 2",55.7710883704405,37.5948676266339,Маяковская,7,9,93.9,unknown,41.3,2023,"Без отделки, чистовая с мебелью",unknown,unknown,Монолитный,unknown,unknown,unknown,Новостройка / Апартаменты,VESPER,https://www.cian.ru/sale/flat/306599727/
32000000,"Москва, САО, р-н Хорошевский, Ленинградский просп., 37/4",55.793313,37.540533,ЦСКА,9,40,41.5,23.4,4.9,2021,unknown,unknown,На улицу и двор,Монолитный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/299890518/
14990000,"Москва, ЮВАО, р-н Нижегородский, Газгольдерная ул., 10",55.727192,37.735746,Нижегородская,24,25,39.0,unknown,16.0,2023,Дизайнерский,2.6,На улицу и двор,unknown,Нет информации,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/306525090/
29486364,"Москва, САО, р-н Беговой, Ленинградский просп., вл8",55.78085421861,37.5826308664078,Белорусская,3,36,40.8,unknown,unknown,2027,Без отделки,3.08,На улицу и двор,Монолитный,unknown,unknown,unknown,Новостройка,MR Group,https://www.cian.ru/sale/flat/306603306/
27000000,"Москва, СЗАО, р-н Хорошево-Мневники, Шелепихинская наб., 34к5",55.764496,37.51149,Шелепиха,6,42,42.0,17.0,11.0,2023,Дизайнерский,3.2,Во двор,unknown,Нет информации,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/307014462/
4960000,"Москва, СВАО, р-н Марфино, Малая Ботаническая ул., 10А",55.833016,37.588817,Фонвизинская,4,4,16.0,11.0,3.0,1961,Евроремонт,2.8,Во двор,Кирпичный,unknown,unknown,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/305916876/
57190400,"Москва, ЦАО, р-н Замоскворечье, Космодамианская наб., 4/22С9",55.74569749148403,37.63821427116283,Новокузнецкая,4,6,51.2,12.3,23.9,2024,Без отделки,3.23,На улицу и двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка / Апартаменты,Галс-Девелопмент,https://www.cian.ru/sale/flat/303040427/
25499999,"Москва, СЗАО, р-н Хорошево-Мневники, ул. Народного Ополчения, 13",55.772943,37.472899,Народное Ополчение,10,21,45.5,15.2,14.9,2023,Косметический,3.0,Во двор,Монолитный,unknown,unknown,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/275914039/
3050000,"Москва, ЮЗАО, р-н Южное Бутово, ул. Поляны, 5",55.55777,37.555023,Улица Скобелевская,3,31,10.7,3.7,2.0,2018,unknown,unknown,unknown,unknown,Индивидуальный тепловой пункт,Нет,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/303456153/
17650549,"Москва, ЮЗАО, р-н Котловка, Новые Академики жилой комплекс, 31/2",55.6739946442631,37.581941424605,Нахимовский проспект,2,8,35.92,20.9,5.1,2027,Без отделки,3.4,unknown,Монолитный,unknown,unknown,unknown,Новостройка,Главстрой,https://www.cian.ru/sale/flat/301772288/
20268000,"Москва, СЗАО, р-н Хорошево-Мневники, Шелепихинская наб., 40к1",55.766997,37.501753,Народное Ополчение,32,43,37.2,15.7,13.7,2023,Без ремонта,3.15,На улицу и двор,unknown,Нет информации,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/303547369/
1350000,"Московская область, Сергиево-Посадский городской округ, Путятино деревня, 133",56.3404,38.35446,unknown,1,5,31.1,12.0,9.0,1984,Косметический,unknown,На улицу,Панельный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/303274440/
129089700,"Москва, ЦАО, р-н Мещанский, Садовая-Сухаревская ул., 14",55.772993,37.627391,Сухаревская,6,13,85.04,45.8,15.8,2025,Чистовая,3.6,На улицу и двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,MR Group,https://www.cian.ru/sale/flat/306186195/
31500000,"Москва, САО, р-н Хорошевский, Ленинградский просп., 37/4",55.793313,37.540533,ЦСКА,16,38,41.1,23.0,5.0,2021,Дизайнерский,3.2,На улицу,Монолитный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/306867070/
31500000,"Москва, САО, р-н Хорошевский, Ленинградский просп., 37/4",55.793313,37.540533,ЦСКА,16,40,41.1,23.4,4.9,2021,unknown,unknown,На улицу и двор,Монолитный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/292933473/
20884900,"Москва, ЦАО, р-н Басманный, ул. Фридриха Энгельса, 56",55.7767727415349,37.6924907546307,Бауманская,2,27,45.7,26.8,7.8,2026,"Без отделки, чистовая",3.25,Во двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Галс-Девелопмент,https://www.cian.ru/sale/flat/306243017/
16500000,"Москва, СВАО, р-н Останкинский, ул. Цандера, 4К2",55.817264,37.63102,ВДНХ,6,12,38.0,19.0,11.0,1967,Дизайнерский,2.65,Во двор,Блочный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/305550068/
20800000,"Москва, ЮАО, р-н Даниловский, Дубининская ул., 59к7",55.7173634696842,37.6364943993748,Серпуховская,29,42,38.1,13.1,14.7,2024,unknown,3.0,На улицу,Монолитный,unknown,unknown,unknown,Новостройка,unknown,https://www.cian.ru/sale/flat/305501331/
18560670,"Москва, ЗАО, Рублево-Архангельское микрорайон, Сберсити жилой комплекс, В17 квартал",55.78928892619544,37.34223375401157,Опалиха,3,7,41.7,14.2,15.2,2026,"Без отделки, чистовая",unknown,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Рублево-Архангельское,https://www.cian.ru/sale/flat/301919899/
63000000,"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 22с1",55.751138,37.533742,Деловой центр,24,79,72.0,50.0,15.0,2019,Дизайнерский,unknown,На улицу и двор,Монолитный,unknown,unknown,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/301042658/
