price,location,geo_lat,geo_lng,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,house_type,heating,breakdown,parking,accomodation_type,author,url
48000000,"Москва, СЗАО, р-н Хорошево-Мневники, ул. Демьяна Бедного, 4К2",55.770375,37.489859,Народное Ополчение,16,22,150.0,80.0,15.0,1999,Косметический,3.0,Во двор,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/306949866/
47920110,"Москва, ЮАО, р-н Даниловский, ул. Архитектора Щусева, 4к2",55.6973372537179,37.6334864423226,Автозаводская,3,16,101.8,60.8,18.4,2023,"Без отделки, чистовая",3.15,unknown,"Монолитно-кирпичный, монолитный",unknown,unknown,unknown,Новостройка,Группа ЛСР,https://www.cian.ru/sale/flat/293204000/
47934315,"Москва, ЗАО, р-н Раменки, просп. Генерала Дорохова, вл1к2",55.708785,37.493263,Раменки,27,52,114.6,74.9,5.0,2024,Без отделки,3.1,unknown,Монолитный,unknown,unknown,unknown,Новостройка,СЗ Минские холмы,https://www.cian.ru/sale/flat/304592839/
48066480,"Москва, ЮЗАО, р-н Обручевский, Эвер жилой комплекс",55.65891068675939,37.53218625621477,Воронцовская,9,34,95.2,59.1,unknown,2025,"Без отделки, предчистовая",3.0,unknown,Монолитный,unknown,unknown,unknown,Новостройка,TEKTA GROUP,https://www.cian.ru/sale/flat/303224305/
48500000,"Москва, ЗАО, р-н Раменки, Мичуринский просп., 19К1",55.697975,37.505274,Раменки,3,18,144.4,92.2,12.1,1998,Косметический,unknown,На улицу и двор,Панельный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/302661512/
48251000,"Москва, СВАО, р-н Марфино, Ботаническая ул., 29Ак3",55.834618,37.592545,Владыкино,2,31,113.0,74.3,28.0,2024,"Без отделки, черновая",3.2,Во двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,ГК Основа,https://www.cian.ru/sale/flat/297432122/
48438063,"Москва, ЗАО, р-н Раменки, просп. Генерала Дорохова, вл1к1",55.708197,37.492742,Раменки,27,52,114.6,74.9,5.0,2024,Без отделки,3.1,unknown,Монолитный,unknown,unknown,unknown,Новостройка,СЗ Минские холмы,https://www.cian.ru/sale/flat/300673184/
48317765,"Москва, ЮАО, р-н Даниловский, Шагал жилой комплекс, 3-я очередь, к3",55.690359,37.639931,ЗИЛ,2,5,139.2,50.0,28.6,2025,Без отделки,3.12,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Группа Эталон,https://www.cian.ru/sale/flat/303393065/
48420000,"Москва, ЮЗАО, р-н Обручевский, ул. Архитектора Власова, 71к2ск2",55.659119939381824,37.53110800819063,Воронцовская,4,34,100.0,64.6,unknown,2023,"Без отделки, предчистовая",3.0,unknown,Монолитный,unknown,unknown,unknown,Новостройка,TEKTA GROUP,https://www.cian.ru/sale/flat/301261873/
49121184,"Москва, ЮАО, р-н Даниловский, ул. Архитектора Щусева, 4к1",55.6984690173889,37.6338664490735,Автозаводская,4,16,109.1,55.3,31.7,2023,"Без отделки, чистовая",3.15,unknown,"Монолитно-кирпичный, монолитный",unknown,unknown,unknown,Новостройка,Группа ЛСР,https://www.cian.ru/sale/flat/293204044/
49087920,"Москва, ЮАО, р-н Даниловский, Эра жилой комплекс, 2",55.720317,37.645968,Пролетарская,4,32,95.8,69.2,unknown,2026,"Без отделки, предчистовая",3.15,unknown,Монолитный,unknown,unknown,unknown,Новостройка,TEKTA GROUP,https://www.cian.ru/sale/flat/301260300/
48766179,"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39",55.7534466956524,37.5266824959225,Шелепиха,33,41,115.02,44.5,unknown,2024,Без отделки,3.1,На улицу,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,КОРТРОС,https://www.cian.ru/sale/flat/306467526/
49041000,"Москва, НАО (Новомосковский), ул. 1-я Ватутинская, 12к2",55.504211,37.32262,Прокшино,13,13,144.5,84.1,10.0,2023,Без отделки,3.1,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Группа Родина,https://www.cian.ru/sale/flat/293200682/
49120000,"Москва, СВАО, р-н Бутырский, Квартал Монс жилой комплекс",55.8203130651862,37.5950207830806,Улица Милашенкова,4,27,126.81,56.2,27.5,2027,Предчистовая,2.98,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Брусника,https://www.cian.ru/sale/flat/305487165/
48786954,"Москва, ЮАО, р-н Даниловский, Шагал жилой комплекс, 2-я очередь, к6.1",55.68797164850809,37.64627184522532,ЗИЛ,9,19,120.2,52.9,18.5,2025,Без отделки,3.12,unknown,"Монолитно-кирпичный, монолитный",unknown,unknown,unknown,Новостройка,Группа Эталон,https://www.cian.ru/sale/flat/306036421/
49153832,"Москва, ЮАО, р-н Даниловский, Шагал жилой комплекс, 2-я очередь, к2",55.6887645452211,37.6413080297153,ЗИЛ,14,31,118.1,55.9,22.3,2025,Без отделки,3.1,unknown,"Монолитно-кирпичный, монолитный",unknown,unknown,unknown,Новостройка,Группа Эталон,https://www.cian.ru/sale/flat/303401984/
32263027,"Москва, СЗАО, р-н Хорошево-Мневники, Левел Звенигородская жилой комплекс",55.7689980396561,37.501083652778,Хорошёво,53,64,93.8,69.7,unknown,2028,"Без отделки, предчистовая, чистовая",2.7,На улицу,Монолитный,unknown,unknown,unknown,Новостройка,Level Group,https://www.cian.ru/sale/flat/306792989/
49253135,"Москва, СЗАО, р-н Хорошево-Мневники, ул. Берзарина, 37",55.79062087978388,37.4620747817528,Серебряный Бор,18,25,81.67,58.8,6.7,2027,Без отделки,3.0,На улицу,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,St Michael,https://www.cian.ru/sale/flat/304242462/
49217638,"Москва, СЗАО, р-н Хорошево-Мневники, ул. Берзарина, 37",55.79062087978388,37.4620747817528,Серебряный Бор,17,25,80.78,49.0,6.2,2027,Без отделки,3.0,На улицу,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,St Michael,https://www.cian.ru/sale/flat/304242458/
49900000,"Москва, СЗАО, р-н Хорошево-Мневники, проезд Проектируемый № 1074, 1",55.7488585123715,37.4551272638928,Терехово 23 мин,6,23,108.7,50.0,23.0,2024,Чистовая,3.2,На улицу и двор,Монолитный,unknown,unknown,unknown,Новостройка,unknown,https://www.cian.ru/sale/flat/304134809/
49856500,"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39к1",55.754618,37.524067,unknown,8,14,113.69,53.9,16.0,2019,Без отделки,3.1,На улицу и двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Класс,https://www.cian.ru/sale/flat/293376105/
37360215,"Москва, ЦАО, р-н Басманный, Большая Почтовая ул.",55.7763436255707,37.69687888626,Электрозаводская,3,17,95.8,51.6,21.7,2025,"Без отделки, предчистовая, чистовая",3.02,Во двор,Монолитный,unknown,unknown,unknown,Новостройка,Level Group,https://www.cian.ru/sale/flat/296358049/
50055000,"Москва, НАО (Новомосковский), ул. 1-я Ватутинская, 14к2",55.5048610444588,37.3206763177908,Прокшино,14,14,147.5,84.3,unknown,2023,Без отделки,3.1,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Группа Родина,https://www.cian.ru/sale/flat/293200887/
49956481,"Москва, ЮАО, р-н Даниловский, наб. Марка Шагала, 11к1",55.687157,37.638611,ЗИЛ,3,9,129.7,68.3,13.6,2024,Без отделки,2.7,unknown,"Монолитно-кирпичный, монолитный",unknown,unknown,unknown,Новостройка,Группа Эталон,https://www.cian.ru/sale/flat/303393089/
50000000,"Москва, СЗАО, р-н Хорошево-Мневники, просп. Маршала Жукова, 39Ак1",55.774892,37.471536,Народное Ополчение,16,19,93.0,unknown,33.0,2018,Дизайнерский,3.2,На улицу и двор,Монолитный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/304689681/
32886278,"Москва, СЗАО, р-н Хорошево-Мневники, Левел Звенигородская жилой комплекс",55.7691885564274,37.5001341507865,Хорошёво,19,48,99.3,unknown,unknown,2028,"Без отделки, предчистовая, чистовая",2.72,На улицу,Монолитный,unknown,unknown,unknown,Новостройка,Level Group,https://www.cian.ru/sale/flat/306793371/
50540380,"Москва, САО, р-н Аэропорт, Часовая ул., 28к8",55.81223903077471,37.521843498848085,Сокол,15,25,107.0,54.1,29.3,2026,Предчистовая,3.0,unknown,Монолитный,unknown,unknown,unknown,Новостройка,FORMA,https://www.cian.ru/sale/flat/307003847/
50500000,"Москва, ЮВАО, р-н Южнопортовый, ул. 1-я Машиностроения, 10",55.714044,37.670142,Дубровка,7,30,113.0,89.0,20.0,2012,Дизайнерский,3.0,На улицу и двор,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/298340818/
50381200,"Москва, СЗАО, р-н Щукино, ул. Расплетина, 2к1",55.79155067680976,37.479200322058794,Октябрьское поле,6,19,105.4,67.0,11.8,2024,Без отделки,3.3,unknown,Монолитный,unknown,unknown,unknown,Новостройка,Концерн КРОСТ,https://www.cian.ru/sale/flat/298380223/
50455544,"Москва, ЗАО, р-н Раменки, Винницкая ул., 8к4",55.701846,37.492177,Раменки,12,28,97.1,52.1,19.2,2022,Без отделки,3.12,unknown,Монолитный,unknown,unknown,unknown,Новостройка,Класс,https://www.cian.ru/sale/flat/305010946/
