price,location,geo_lat,geo_lng,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,house_type,heating,breakdown,parking,accomodation_type,author,url,room_count
57190400,"Москва, ЦАО, р-н Замоскворечье, Космодамианская наб., 4/22С9",55.74569749148403,37.63821427116283,Новокузнецкая,4,6,51.2,12.3,23.9,2024,Без отделки,3.23,На улицу и двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка / Апартаменты,Галс-Девелопмент,https://www.cian.ru/sale/flat/303040427/,1
25499999,"Москва, СЗАО, р-н Хорошево-Мневники, ул. Народного Ополчения, 13",55.772943,37.472899,Народное Ополчение,10,21,45.5,15.2,14.9,2023,Косметический,3.0,Во двор,Монолитный,unknown,unknown,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/275914039/,1
3050000,"Москва, ЮЗАО, р-н Южное Бутово, ул. Поляны, 5",55.55777,37.555023,Улица Скобелевская,3,31,10.7,3.7,2.0,2018,unknown,unknown,unknown,unknown,Индивидуальный тепловой пункт,Нет,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/303456153/,1
17650549,"Москва, ЮЗАО, р-н Котловка, Новые Академики жилой комплекс, 31/2",55.6739946442631,37.581941424605,Нахимовский проспект,2,8,35.92,20.9,5.1,2027,Без отделки,3.4,unknown,Монолитный,unknown,unknown,unknown,Новостройка,Главстрой,https://www.cian.ru/sale/flat/301772288/,1
20268000,"Москва, СЗАО, р-н Хорошево-Мневники, Шелепихинская наб., 40к1",55.766997,37.501753,Народное Ополчение,32,43,37.2,15.7,13.7,2023,Без ремонта,3.15,На улицу и двор,unknown,Нет информации,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/303547369/,1
1350000,"Московская область, Сергиево-Посадский городской округ, Путятино деревня, 133",56.3404,38.35446,unknown,1,5,31.1,12.0,9.0,1984,Косметический,unknown,На улицу,Панельный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/303274440/,1
129089700,"Москва, ЦАО, р-н Мещанский, Садовая-Сухаревская ул., 14",55.772993,37.627391,Сухаревская,6,13,85.04,45.8,15.8,2025,Чистовая,3.6,На улицу и двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,MR Group,https://www.cian.ru/sale/flat/306186195/,1
31500000,"Москва, САО, р-н Хорошевский, Ленинградский просп., 37/4",55.793313,37.540533,ЦСКА,16,38,41.1,23.0,5.0,2021,Дизайнерский,3.2,На улицу,Монолитный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/306867070/,1
31500000,"Москва, САО, р-н Хорошевский, Ленинградский просп., 37/4",55.793313,37.540533,ЦСКА,16,40,41.1,23.4,4.9,2021,unknown,unknown,На улицу и двор,Монолитный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/292933473/,1
20884900,"Москва, ЦАО, р-н Басманный, ул. Фридриха Энгельса, 56",55.7767727415349,37.6924907546307,Бауманская,2,27,45.7,26.8,7.8,2026,"Без отделки, чистовая",3.25,Во двор,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Галс-Девелопмент,https://www.cian.ru/sale/flat/306243017/,1
16500000,"Москва, СВАО, р-н Останкинский, ул. Цандера, 4К2",55.817264,37.63102,ВДНХ,6,12,38.0,19.0,11.0,1967,Дизайнерский,2.65,Во двор,Блочный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/305550068/,1
20800000,"Москва, ЮАО, р-н Даниловский, Дубининская ул., 59к7",55.7173634696842,37.6364943993748,Серпуховская,29,42,38.1,13.1,14.7,2024,unknown,3.0,На улицу,Монолитный,unknown,unknown,unknown,Новостройка,unknown,https://www.cian.ru/sale/flat/305501331/,1
18560670,"Москва, ЗАО, Рублево-Архангельское микрорайон, Сберсити жилой комплекс, В17 квартал",55.78928892619544,37.34223375401157,Опалиха,3,7,41.7,14.2,15.2,2026,"Без отделки, чистовая",unknown,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Рублево-Архангельское,https://www.cian.ru/sale/flat/301919899/,1
63000000,"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 22с1",55.751138,37.533742,Деловой центр,24,79,72.0,50.0,15.0,2019,Дизайнерский,unknown,На улицу и двор,Монолитный,unknown,unknown,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/301042658/,1
26155305,"Москва, ЗАО, Рублево-Архангельское микрорайон, Сберсити жилой комплекс, В21 квартал",55.7875762516888,37.3434570638689,Опалиха,4,13,56.43,16.4,21.3,2025,"Без отделки, чистовая",4.1,На улицу,Монолитный,unknown,unknown,unknown,Новостройка,Рублево-Архангельское,https://www.cian.ru/sale/flat/306151922/,1
25000000,"Москва, ЦАО, р-н Пресненский, Шмитовский проезд, 39к2",55.754061,37.524722,Шелепиха,19,32,32.2,unknown,unknown,2019,Дизайнерский,3.0,На улицу и двор,Монолитный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/303071841/,1
18500000,"Москва, ЮЗАО, р-н Обручевский, ул. Академика Волгина, 2С2",55.6560485847175,37.5223552771048,Калужская,28,47,34.4,18.5,8.2,2024,Чистовая,unknown,На улицу и двор,Монолитный,unknown,unknown,unknown,Новостройка,unknown,https://www.cian.ru/sale/flat/304298213/,1
23508375,"Москва, ЗАО, Рублево-Архангельское микрорайон, Сберсити жилой комплекс, В19 квартал",55.789558187273,37.3438052008762,Павшино,4,12,45.87,13.4,15.1,2024,Без отделки,3.83,unknown,Монолитный,unknown,unknown,unknown,Новостройка,Рублево-Архангельское,https://www.cian.ru/sale/flat/299137613/,1
4150000,"Московская область, Пушкинский городской округ, Тарасовка село, ул. Пожидаева, 18к4",55.965043,37.816837,unknown,4,5,32.0,19.5,7.0,1982,Косметический,unknown,Во двор,unknown,Нет информации,Нет,unknown,Вторичка,unknown,https://ivanteyevka.cian.ru/sale/flat/305496725/,1
12990000,"Москва, ЦАО, р-н Таганский, ул. Талалихина, 3",55.734207,37.679978,Пролетарская,1,12,38.9,21.0,9.0,1978,Косметический,unknown,Во двор,unknown,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/305881394/,1
13843599,"Москва, ЗАО, р-н Кунцево, 48-й квартал, Кутузовский Квартал жилой комплекс",55.728900591784566,37.43294646961893,Кунцевская,2,44,31.61,9.4,11.9,2027,"Без отделки, предчистовая",2.92,unknown,Монолитный,unknown,unknown,unknown,Новостройка,Среда,https://www.cian.ru/sale/flat/304753663/,1
13500000,"Москва, ЗАО, р-н Раменки, ул. Лобачевского, 100К3",55.685274,37.483041,Мичуринский проспект,1,16,37.5,21.0,8.9,1981,Евроремонт,2.64,Во двор,Панельный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/304885992/,1
19000000,"Москва, ЮЗАО, р-н Обручевский, ул. Академика Волгина, 2С2",55.6560485847175,37.5223552771048,Беляево,4,46,39.7,9.6,15.9,2024,Чистовая,unknown,unknown,Монолитный,unknown,unknown,unknown,Новостройка,unknown,https://www.cian.ru/sale/flat/298087113/,1
22374675,"Москва, ЗАО, р-н Филевский парк, Береговой проезд, 2",55.7597681819349,37.5078063512008,Фили,2,16,45.0,16.4,14.6,2024,Без отделки,3.2,На улицу,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Главстрой,https://www.cian.ru/sale/flat/296921064/,1
20018250,"Москва, ЮАО, р-н Даниловский, Автозаводская ул., 26",55.7064943785236,37.6321237476071,Тульская,6,20,43.05,10.6,18.7,2024,unknown,2.85,Во двор,Монолитный,unknown,unknown,unknown,Новостройка,unknown,https://www.cian.ru/sale/flat/305679571/,1
9500000,"Москва, САО, р-н Молжаниновский, Ленинградское ш., 228к6",55.933232,37.386759,Молжаниново,12,15,24.7,unknown,6.8,2023,Евроремонт,unknown,Во двор,unknown,Нет информации,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/304155806/,1
30910244,"Москва, ЗАО, Рублево-Архангельское микрорайон, Сберсити жилой комплекс, В20 квартал",55.7887728612671,37.3438008900958,Павшино,3,13,54.02,15.1,19.0,2024,Чистовая,3.53,На улицу,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Рублево-Архангельское,https://www.cian.ru/sale/flat/291868741/,1
16500000,"Москва, ЗАО, р-н Кунцево, Рублевское ш., 79",55.738449,37.432609,Молодёжная,13,22,40.0,unknown,10.0,2008,Дизайнерский,unknown,Во двор,unknown,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/305908801/,1
34000000,"Москва, ЗАО, р-н Очаково-Матвеевское, Нежинская ул., 5к2",55.714506,37.474695,Давыдково,4,26,46.0,unknown,unknown,2021,Без ремонта,3.1,Во двор,Монолитный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/287678758/,1
21103320,"Москва, ЗАО, Рублево-Архангельское микрорайон, Сберсити жилой комплекс, В14 квартал",55.7907334001236,37.3426072432844,Павшино,6,9,44.4,14.4,16.1,2026,"Без отделки, чистовая",3.0,На улицу,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Рублево-Архангельское,https://www.cian.ru/sale/flat/306151867/,1
11500000,"Москва, СВАО, р-н Северное Медведково, ул. Тихомирова, 5",55.884858,37.647828,Медведково,14,14,37.0,20.0,8.0,2004,Косметический,2.74,Во двор,Панельный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/304785312/,1
7100000,"Московская область, Балашиха, мкр. Железнодорожный, ул. Поликахина, 3",55.739894,38.005079,Железнодорожная,4,19,37.7,19.0,9.7,2017,Евроремонт,2.74,Во двор,Монолитный,Центральное,Нет,unknown,Вторичка,unknown,https://balashikha.cian.ru/sale/flat/307026558/,1
95634000,"Москва, ЦАО, р-н Якиманка, Софийская наб., 34С3",55.7463922322426,37.622796830688,Новокузнецкая,2,6,48.3,unknown,unknown,2026,Без отделки,3.03,На улицу,Монолитный,unknown,unknown,unknown,Новостройка,Hutton Development,https://www.cian.ru/sale/flat/304286459/,1
7400000,"Московская область, Королев, мкр. Костино, проезд Макаренко, 3",55.916027,37.863504,Медведково,10,24,41.0,16.7,10.4,2008,Косметический,2.8,На улицу,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://korolev.cian.ru/sale/flat/304247042/,1
95000000,"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 15",55.75052,37.539401,Деловой центр,51,75,123.0,69.0,15.0,2013,Дизайнерский,unknown,На улицу,Монолитный,Нет информации,Нет,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/297087850/,1
55770000,"Москва, ЦАО, р-н Хамовники, Коллекция Лужники жилой комплекс",55.7156081703927,37.5715492461217,Воробьёвы горы,7,18,49.8,11.3,unknown,2026,"Без отделки, предчистовая",3.25,unknown,Монолитный,unknown,unknown,unknown,Новостройка,Absolute Premium,https://www.cian.ru/sale/flat/304065730/,1
5500000,"Московская область, Королев, мкр. Завокзальный, Садовая ул., 9",55.930045,37.816962,Медведково,2,5,32.0,18.0,6.0,1960,Косметический,2.5,На улицу,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://korolev.cian.ru/sale/flat/304694342/,1
4480000,"Московская область, Королев, мкр. Завокзальный, Садовая ул., 5",55.928491,37.816765,Медведково,1,5,31.6,18.5,6.5,1959,Без ремонта,2.6,На улицу,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://korolev.cian.ru/sale/flat/304688892/,1
38190900,"Москва, ЦАО, р-н Замоскворечье, Шлюзовая наб., 2/1С1",55.732464,37.642312,Павелецкая,4,8,48.9,24.2,9.7,2028,Без отделки,3.3,Во двор,Монолитный,unknown,unknown,unknown,Новостройка,Галс-Девелопмент,https://www.cian.ru/sale/flat/306687240/,1
58990000,"Москва, ЦАО, р-н Замоскворечье, Садовническая ул., 57С1",55.740558,37.640929,Новокузнецкая,2,7,65.8,48.5,8.0,2016,Дизайнерский,unknown,Во двор,Монолитный,Нет информации,Нет,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/306282663/,1
21900000,"Москва, СЗАО, р-н Хорошево-Мневники, ул. Шеногина",55.7678921932403,37.5037184490736,Хорошёво,6,20,39.6,16.3,13.6,2024,Чистовая,unknown,На улицу,Монолитный,unknown,unknown,unknown,Новостройка,unknown,https://www.cian.ru/sale/flat/291448184/,1
19172630,"Москва, ЮАО, р-н Даниловский, Эра жилой комплекс, 1",55.72013197209565,37.64497606666403,Пролетарская,8,27,28.1,15.6,unknown,2026,"Без отделки, предчистовая",3.15,unknown,Монолитный,unknown,unknown,unknown,Новостройка,TEKTA GROUP,https://www.cian.ru/sale/flat/306368174/,1
90000000,"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 22",55.751366,37.536517,Деловой центр,63,66,86.0,18.0,40.0,unknown,Дизайнерский,unknown,unknown,unknown,unknown,unknown,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/299723346/,1
5599999,"Московская область, Балашиха, ул. Яганова, 12",55.832348,37.956318,Щёлковская,9,25,32.6,17.0,10.0,2022,Евроремонт,2.75,Во двор,unknown,Нет информации,Нет,unknown,Вторичка,unknown,https://balashikha.cian.ru/sale/flat/298166315/,1
49060000,"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 22с1",55.751138,37.533742,Москва,49,66,44.6,unknown,unknown,2020,"Без отделки, чистовая",3.9,На улицу,Монолитный,unknown,unknown,unknown,Новостройка / Апартаменты,СТ Тауэрс,https://www.cian.ru/sale/flat/304453140/,1
7449000,"Московская область, Балашиха, мкр. Южный, ул. Твардовского, 26",55.794492,37.982154,Новокосино,14,17,45.3,21.9,10.9,2007,Евроремонт,3.0,На улицу,unknown,Центральное,Нет,unknown,Вторичка,unknown,https://balashikha.cian.ru/sale/flat/304384217/,1
139410000,"Москва, ЦАО, р-н Якиманка, Лаврушинский жилой комплекс",55.7396737042422,37.6219303055568,Третьяковская,2,14,72.6,14.2,31.0,2024,Без отделки,3.35,unknown,Монолитный,unknown,unknown,unknown,Новостройка,Sminex,https://www.cian.ru/sale/flat/293713671/,1
15990000,"Москва, СВАО, р-н Марьина роща, Стрелецкая ул., 9К2",55.796835,37.60381,Марьина Роща,9,14,40.0,21.0,9.0,1989,Дизайнерский,2.65,Во двор,Панельный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/306409711/,1
8149000,"Московская область, Балашиха, мкр. 28-й, ул. Евстафьева, 9а",55.789249,37.93572,Новокосино,13,17,45.8,22.1,10.8,2006,Евроремонт,2.8,На улицу,unknown,Нет информации,Нет,unknown,Вторичка,unknown,https://balashikha.cian.ru/sale/flat/304549744/,1
18572846,"Москва, САО, р-н Савеловский, Симфония 34 жилой комплекс",55.80630512303944,37.56997097632147,Дмитровская,3,49,38.79,13.1,unknown,2025,"Предчистовая, чистовая",3.0,unknown,Монолитный,unknown,unknown,unknown,Новостройка,MR Group,https://www.cian.ru/sale/flat/300288186/,1
11890000,"Москва, НАО (Новомосковский), бул. Веласкеса, 3к3",55.593288,37.456612,Прокшино,15,15,40.6,20.0,10.0,2018,Дизайнерский,2.7,На улицу,Монолитный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/306709200/,1
9250000,"Москва, ВАО, р-н Перово, ул. Плющева, 17К1",55.739245,37.76203,Перово,6,16,34.6,19.5,9.6,1984,Без ремонта,unknown,На улицу,Панельный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/305910640/,1
16956808,"Москва, ЮАО, р-н Даниловский, Павелецкая Сити жилой комплекс",55.718765,37.636392,Павелецкая,23,46,31.1,11.3,unknown,2027,"Без отделки, предчистовая",3.0,unknown,"Монолитно-кирпичный, монолитный, кирпичный",unknown,unknown,unknown,Новостройка,MR Group,https://www.cian.ru/sale/flat/307015186/,1
10400000,"Москва, ВАО, р-н Измайлово, Измайловский проезд, 7К1",55.79682,37.768112,Измайловская,11,14,35.2,19.5,9.7,1973,Евроремонт,2.6,На улицу и двор,Блочный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/306637427/,1
11500000,"Москва, ЮАО, р-н Братеево, ул. Борисовские Пруды, 16К3",55.634095,37.748655,Борисово,4,14,38.5,20.9,8.5,1997,Евроремонт,2.64,Во двор,Панельный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/305750240/,1
24145100,"Москва, ЮВАО, р-н Южнопортовый, Шампайн жилой комплекс, к3",55.7259163702846,37.6786046613761,Волгоградский проспект,9,13,40.02,13.9,unknown,2024,"Без отделки, чистовая",3.05,unknown,Монолитный,unknown,unknown,unknown,Новостройка,TOUCH,https://www.cian.ru/sale/flat/302838453/,1
27500000,"Москва, САО, р-н Беговой, ул. 3-я Ямского Поля, 9",55.781626,37.580894,Белорусская,5,6,43.0,unknown,unknown,2016,Дизайнерский,unknown,unknown,Монолитный,Нет информации,Нет,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/293718260/,1
34950000,"Москва, ЗАО, р-н Раменки, просп. Генерала Дорохова, 39к2И",55.715195,37.499085,Минская,10,14,45.0,unknown,12.0,unknown,Без ремонта,3.25,unknown,unknown,unknown,unknown,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/304921884/,1
15514350,"Москва, ЗАО, р-н Очаково-Матвеевское, Очаково микрорайон",55.6913891160806,37.4603453942553,Аминьевская,3,13,35.3,21.1,5.5,2027,Предчистовая,2.92,unknown,Монолитный,unknown,unknown,unknown,Новостройка,Среда,https://www.cian.ru/sale/flat/303859440/,1
80000000,"Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 22с1",55.751138,37.533742,Деловой центр,37,79,78.0,50.0,15.0,2019,Дизайнерский,unknown,На улицу и двор,Монолитный,unknown,unknown,unknown,Вторичка / Апартаменты,unknown,https://www.cian.ru/sale/flat/301042655/,1
31879000,"Москва, ЗАО, р-н Крылатское, Крылатская ул., 23",55.7713506652959,37.4147564920653,Крылатское,4,27,46.32,23.7,17.6,2027,Без отделки,3.1,unknown,Монолитный,unknown,unknown,unknown,Новостройка,TOUCH,https://www.cian.ru/sale/flat/305603339/,1
8950000,"Москва, ЗелАО, р-н Крюково, Зеленоград, мкр. 20-й, к2033",55.973043,37.172224,Зеленоград,10,15,38.3,20.0,9.0,2008,Косметический,2.8,Во двор,Панельный,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/303790635/,1
15998073,"Москва, СВАО, р-н Марьина роща, Полковая ул., 1С12",55.7986280976491,37.5975001540744,Марьина Роща,2,22,30.9,unknown,unknown,2025,"Без отделки, чистовая",3.0,unknown,Монолитный,unknown,unknown,unknown,Новостройка,Компания PIONEER,https://www.cian.ru/sale/flat/306809955/,1
12700000,"Москва, ЮАО, р-н Нагорный, Чонгарский бул., 6",55.653736,37.61662,Варшавская,4,8,32.0,20.0,6.0,1959,Дизайнерский,2.7,unknown,unknown,Центральное,Нет,unknown,Вторичка,unknown,https://www.cian.ru/sale/flat/306867123/,1
50910200,"Москва, ЦАО, р-н Таганский, Серебрянический пер., 6",55.749748319422416,37.64591733984215,Китай,2,9,49.2,30.5,7.2,2021,Без отделки,3.6,unknown,"Монолитно-кирпичный, монолитный",unknown,unknown,unknown,Новостройка / Пентхаус,Центр-Инвест,https://www.cian.ru/sale/flat/306675141/,1
17559000,"Москва, ЮЗАО, р-н Обручевский, Эвер жилой комплекс",55.65987505964476,37.53329669074726,Воронцовская,24,34,30.0,15.1,unknown,2025,"Без отделки, предчистовая",3.15,unknown,Монолитный,unknown,unknown,unknown,Новостройка,TEKTA GROUP,https://www.cian.ru/sale/flat/305021240/,1
7200000,"Московская область, Котельники, ул. Кузьминская, 7",55.666035,37.868256,Котельники,8,17,40.8,18.0,10.0,2009,Косметический,2.65,Во двор,Кирпичный,Центральное,Нет,unknown,Вторичка,unknown,https://kotelniki.cian.ru/sale/flat/303814533/,1
22080277,"Москва, СВАО, р-н Останкинский, просп. Мира, 95",55.8077844836563,37.6349410489341,Алексеевская,12,15,52.6,unknown,unknown,2021,"Без отделки, чистовая",unknown,unknown,Монолитный,unknown,unknown,unknown,Новостройка / Апартаменты,СИТИ21,https://www.cian.ru/sale/flat/305970241/,1
6000000,"Московская область, Люберцы, мкр. Люберцы 2015 2018, Зенино ЖК Самолет микрорайон, ул. Вертолетная, 16к1",55.706152,37.964214,Некрасовка,14,19,34.0,unknown,7.0,2016,Евроремонт,2.7,Во двор,Кирпичный,Индивидуальный тепловой пункт,Нет,unknown,Вторичка,unknown,https://lyubertsy.cian.ru/sale/flat/304298024/,1
29168290,"Москва, ЮАО, р-н Даниловский, ул. Серпуховский Вал, 7с16",55.7106226257462,37.6143546772458,Тульская,2,15,35.27,unknown,unknown,2027,"Предчистовая, чистовая",3.2,unknown,Монолитно-кирпичный,unknown,unknown,unknown,Новостройка,Колди (Coldy),https://www.cian.ru/sale/flat/303330139/,1
