price,location,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,accomodation_type,url
19500000,"Москва, ЗАО, р-н Очаково-Матвеевское, Левел Мичуринский жилой комплекс, к1",Мичуринский проспект,51,53,37.4,unknown,unknown,2025,Без отделки,unknown,unknown,Новостройка,https://www.cian.ru/sale/flat/296060335/
21689360,"Москва, ЮЗАО, р-н Обручевский, Эвер жилой комплекс",Воронцовская,31,34,39.2,15.4,unknown,2025,Неизвестно,3.15,unknown,Новостройка,https://www.cian.ru/sale/flat/301261798/
31500000,"Москва, ЗАО, р-н Фили-Давыдково, ул. Герасима Курина, 44К1",Славянский бульвар,17,17,73.1,unknown,9.0,1998,Дизайнерский,2.64,На улицу и двор,Вторичка,https://www.cian.ru/sale/flat/303946752/
33000000,"Москва, ЦАО, р-н Якиманка, ул. Шаболовка, 23к2",Шаболовская,5,15,57.4,unknown,unknown,unknown,Дизайнерский,unknown,Во двор,Вторичка,https://www.cian.ru/sale/flat/292945866/
32950000,"Москва, ЗАО, р-н Дорогомилово, Кутузовский проезд, 16А/1",Фили,13,45,51.0,unknown,unknown,2026,unknown,unknown,unknown,Вторичка,https://www.cian.ru/sale/flat/305774269/
34000000,"Москва, ЗАО, р-н Очаково-Матвеевское, Нежинская ул., 5к2",Давыдково,4,26,46.0,unknown,unknown,2021,Без ремонта,3.1,Во двор,Вторичка,https://www.cian.ru/sale/flat/287678758/
41200000,"Москва, САО, р-н Хорошевский, Ленинградский просп., 37/5",Аэропорт,2,41,70.0,unknown,unknown,2021,Без ремонта,3.15,unknown,Вторичка,https://www.cian.ru/sale/flat/304535457/
44000000,"Москва, ЗАО, р-н Фили-Давыдково, ул. Ивана Франко, 6",Кунцевская,29,29,85.0,60.0,20.0,2022,Без ремонта,3.7,На улицу,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/291597285/
52900000,"Москва, ЮЗАО, р-н Коньково, ул. Островитянова, 11К1",Коньково,9,16,120.0,unknown,10.0,2004,Дизайнерский,3.0,unknown,Вторичка,https://www.cian.ru/sale/flat/303619557/
72000000,"Москва, ЗАО, р-н Дорогомилово, Поклонная ул., 9",Парк Победы,14,34,84.7,unknown,10.0,unknown,unknown,unknown,unknown,Вторичка / Апартаменты,https://www.cian.ru/sale/flat/305869279/
