price,geo_lat,geo_lng,metro,floor,floor_count,square,living_square,kitchen_square,year,finish_type,ceiling_height,view,house_type,heating,breakdown,accomodation_type,author,room_count,floor_ratio,room_ratio,living_ratio,kitchen_ratio
22374675,55.7597681819349,37.5078063512008,Фили,2,16,45.0,16.4,14.6,2024,Без отделки,3.2,На улицу,Монолитно-кирпичный,unknown,unknown,Новостройка,Главстрой,1,0.125,45.0,0.3644444444444444,0.3244444444444444
20018250,55.7064943785236,37.6321237476071,Тульская,6,20,43.05,10.6,18.7,2024,unknown,2.85,Во двор,Монолитный,unknown,unknown,Новостройка,unknown,1,0.3,43.05,0.2462253193960511,0.43437862950058076
16500000,55.738449,37.432609,Молодежная,13,22,40.0,18.86,10.0,2008,Дизайнерский,3.1,Во двор,unknown,Центральное,Нет,Вторичка,unknown,1,0.5909090909090909,40.0,0.4715,0.25
21103320,55.7907334001236,37.3426072432844,Павшино,6,9,44.4,14.4,16.1,2026,Без отделки,3.0,На улицу,Монолитно-кирпичный,unknown,unknown,Новостройка,Рублево-Архангельское,1,0.6666666666666666,44.4,0.32432432432432434,0.3626126126126127
11500000,55.884858,37.647828,Медведково,14,14,37.0,20.0,8.0,2004,Косметический,2.74,Во двор,Панельный,Центральное,Нет,Вторичка,unknown,1,1.0,37.0,0.5405405405405406,0.21621621621621623
7100000,55.739894,38.005079,Железнодорожная,4,19,37.7,19.0,9.7,2017,Евроремонт,2.74,Во двор,Монолитный,Центральное,Нет,Вторичка,unknown,1,0.21052631578947367,37.7,0.5039787798408488,0.25729442970822275
7400000,55.916027,37.863504,Медведково,10,24,41.0,16.7,10.4,2008,Косметический,2.8,На улицу,Кирпичный,Центральное,Нет,Вторичка,unknown,1,0.4166666666666667,41.0,0.4073170731707317,0.25365853658536586
5500000,55.930045,37.816962,Медведково,2,5,32.0,18.0,6.0,1960,Косметический,2.5,На улицу,Кирпичный,Центральное,Нет,Вторичка,unknown,1,0.4,32.0,0.5625,0.1875
4480000,55.928491,37.816765,Медведково,1,5,31.6,18.5,6.5,1959,Без ремонта,2.6,На улицу,Кирпичный,Центральное,Нет,Вторичка,unknown,1,0.2,31.6,0.5854430379746836,0.20569620253164556
21900000,55.7678921932403,37.5037184490736,Хорошево,6,20,39.6,16.3,13.6,2024,Чистовая,3.1,На улицу,Монолитный,unknown,unknown,Новостройка,unknown,1,0.3,39.6,0.4116161616161616,0.3434343434343434
19172630,55.72013197209565,37.64497606666403,Пролетарская,8,27,28.1,15.6,7.51,2026,Без отделки,3.15,unknown,Монолитный,unknown,unknown,Новостройка,TEKTA GROUP,1,0.2962962962962963,28.1,0.5551601423487544,0.2672597864768683
5599999,55.832348,37.956318,Салтыковская,9,25,32.6,17.0,10.0,2022,Евроремонт,2.75,Во двор,unknown,unknown,Нет,Вторичка,unknown,1,0.36,32.6,0.5214723926380368,0.3067484662576687
7449000,55.794492,37.982154,Новокосино,14,17,45.3,21.9,10.9,2007,Евроремонт,3.0,На улицу,unknown,Центральное,Нет,Вторичка,unknown,1,0.8235294117647058,45.3,0.48344370860927155,0.2406181015452539
15990000,55.796835,37.60381,Марьина Роща,9,14,40.0,21.0,9.0,1989,Дизайнерский,2.65,Во двор,Панельный,Центральное,Нет,Вторичка,unknown,1,0.6428571428571429,40.0,0.525,0.225
8149000,55.789249,37.93572,Новокосино,13,17,45.8,22.1,10.8,2006,Евроремонт,2.8,На улицу,unknown,unknown,Нет,Вторичка,unknown,1,0.7647058823529411,45.8,0.4825327510917031,0.23580786026200876
18572846,55.80630512303944,37.56997097632147,Дмитровская,3,49,38.79,13.1,10.37,2025,Предчистовая,3.0,unknown,Монолитный,unknown,unknown,Новостройка,MR Group,1,0.061224489795918366,38.79,0.3377159061613818,0.2673369425109564
11890000,55.593288,37.456612,Прокшино,15,15,40.6,20.0,10.0,2018,Дизайнерский,2.7,На улицу,Монолитный,Центральное,Нет,Вторичка,unknown,1,1.0,40.6,0.49261083743842365,0.24630541871921183
9250000,55.739245,37.76203,Перово,6,16,34.6,19.5,9.6,1984,Без ремонта,3.1,На улицу,Панельный,Центральное,Нет,Вторичка,unknown,1,0.375,34.6,0.5635838150289018,0.2774566473988439
16956808,55.718765,37.636392,Павелецкая,23,46,31.1,11.3,8.31,2027,Без отделки,3.0,unknown,Монолитно-кирпичный,unknown,unknown,Новостройка,MR Group,1,0.5,31.1,0.36334405144694537,0.2672025723472669
10400000,55.79682,37.768112,Измайловская,11,14,35.2,19.5,9.7,1973,Евроремонт,2.6,На улицу и двор,Блочный,Центральное,Нет,Вторичка,unknown,1,0.7857142857142857,35.2,0.5539772727272727,0.27556818181818177
11500000,55.634095,37.748655,Борисово,4,14,38.5,20.9,8.5,1997,Евроремонт,2.64,Во двор,Панельный,Центральное,Нет,Вторичка,unknown,1,0.2857142857142857,38.5,0.5428571428571428,0.22077922077922077
24145100,55.7259163702846,37.6786046613761,Волгоградский проспект,9,13,40.02,13.9,10.7,2024,Без отделки,3.05,unknown,Монолитный,unknown,unknown,Новостройка,unknown,1,0.6923076923076923,40.02,0.3473263368315842,0.2673663168415792
27500000,55.781626,37.580894,Белорусская,5,6,43.0,20.27,11.5,2016,Дизайнерский,3.1,unknown,Монолитный,unknown,Нет,Вторичка / Апартаменты,unknown,1,0.8333333333333334,43.0,0.4713953488372093,0.26744186046511625
15514350,55.6913891160806,37.4603453942553,Аминьевская,3,13,35.3,21.1,5.5,2027,Предчистовая,2.92,unknown,Монолитный,unknown,unknown,Новостройка,unknown,1,0.23076923076923078,35.3,0.5977337110481588,0.1558073654390935
8950000,55.973043,37.172224,Крюково,10,15,38.3,20.0,9.0,2008,Косметический,2.8,Во двор,Панельный,Центральное,Нет,Вторичка,unknown,1,0.6666666666666666,38.3,0.5221932114882507,0.2349869451697128
15998073,55.7986280976491,37.5975001540744,Марьина Роща,2,22,30.9,14.57,8.26,2025,Без отделки,3.0,unknown,Монолитный,unknown,unknown,Новостройка,Компания PIONEER,1,0.09090909090909091,30.9,0.4715210355987055,0.26731391585760517
12700000,55.653736,37.61662,Варшавская,4,8,32.0,20.0,6.0,1959,Дизайнерский,2.7,unknown,unknown,Центральное,Нет,Вторичка,unknown,1,0.5,32.0,0.625,0.1875
17559000,55.65987505964476,37.53329669074726,Воронцовская,24,34,30.0,15.1,8.02,2025,Без отделки,3.15,unknown,Монолитный,unknown,unknown,Новостройка,TEKTA GROUP,1,0.7058823529411765,30.0,0.5033333333333333,0.2673333333333333
7200000,55.666035,37.868256,Котельники,8,17,40.8,18.0,10.0,2009,Косметический,2.65,Во двор,Кирпичный,Центральное,Нет,Вторичка,unknown,1,0.47058823529411764,40.8,0.44117647058823534,0.2450980392156863
6000000,55.706152,37.964214,Некрасовка,14,19,34.0,16.03,7.0,2016,Евроремонт,2.7,Во двор,Кирпичный,Индивидуальный тепловой пункт,Нет,Вторичка,unknown,1,0.7368421052631579,34.0,0.47147058823529414,0.20588235294117646
10500000,55.553422,37.464284,Новомосковская (Коммунарка),7,15,37.3,17.8,10.2,2019,Евроремонт,2.8,На улицу,Монолитный,Центральное,Нет,Вторичка,unknown,1,0.4666666666666667,37.3,0.47721179624664883,0.2734584450402145
22495200,55.732445568601,37.5336225972051,Парк Победы,18,34,33.6,17.4,5.2,2028,Предчистовая,3.25,На улицу,Монолитно-кирпичный,unknown,unknown,Новостройка,unknown,1,0.5294117647058824,33.6,0.5178571428571428,0.15476190476190477
4790000,55.692161,37.963819,Некрасовка,2,5,34.3,15.0,9.2,2015,Косметический,2.75,Во двор,Блочный,Центральное,Нет,Вторичка,unknown,1,0.4,34.3,0.4373177842565598,0.26822157434402333
9000000,55.864298,37.446641,Планерная,2,5,31.0,19.5,6.0,1966,Без ремонта,2.7,Во двор,Панельный,Центральное,Нет,Вторичка,unknown,1,0.4,31.0,0.6290322580645161,0.1935483870967742
24636196,55.7740185078958,37.5740440080382,Белорусская,3,33,38.44,14.0,15.8,2027,Без отделки,2.98,unknown,Монолитный,unknown,unknown,Новостройка,FORMA,1,0.09090909090909091,38.44,0.3642039542143601,0.4110301768990635
9400000,55.610001,37.758419,Зябликово,16,17,38.2,19.2,8.3,1988,Косметический,2.64,Во двор,Панельный,Центральное,Нет,Вторичка,unknown,1,0.9411764705882353,38.2,0.5026178010471204,0.21727748691099477
5300000,55.980825,37.73809,Медведково,2,10,44.2,18.0,9.5,2004,Косметический,2.7,На улицу,Кирпичный,Центральное,Нет,Вторичка,unknown,1,0.2,44.2,0.4072398190045249,0.21493212669683256
